Quarter,Country,Industry,Value,Variable
2002.5,Denmark,"Agriculture, forestry and fishing",102.625,Gross Value Added
2002.75,Denmark,"Agriculture, forestry and fishing",101.176,Gross Value Added
2003.0,Denmark,"Agriculture, forestry and fishing",103.284,Gross Value Added
2003.25,Denmark,"Agriculture, forestry and fishing",100.294,Gross Value Added
2003.5,Denmark,"Agriculture, forestry and fishing",102.311,Gross Value Added
2003.75,Denmark,"Agriculture, forestry and fishing",100.485,Gross Value Added
2004.0,Denmark,"Agriculture, forestry and fishing",96.578,Gross Value Added
2004.25,Denmark,"Agriculture, forestry and fishing",107.955,Gross Value Added
2004.5,Denmark,"Agriculture, forestry and fishing",106.934,Gross Value Added
2004.75,Denmark,"Agriculture, forestry and fishing",104.489,Gross Value Added
2005.0,Denmark,"Agriculture, forestry and fishing",92.717,Gross Value Added
2005.25,Denmark,"Agriculture, forestry and fishing",102.82,Gross Value Added
2005.5,Denmark,"Agriculture, forestry and fishing",104.229,Gross Value Added
2005.75,Denmark,"Agriculture, forestry and fishing",92.501,Gross Value Added
2006.0,Denmark,"Agriculture, forestry and fishing",103.389,Gross Value Added
2006.25,Denmark,"Agriculture, forestry and fishing",101.276,Gross Value Added
2006.5,Denmark,"Agriculture, forestry and fishing",101.487,Gross Value Added
2006.75,Denmark,"Agriculture, forestry and fishing",102.114,Gross Value Added
2007.0,Denmark,"Agriculture, forestry and fishing",111.19,Gross Value Added
2007.25,Denmark,"Agriculture, forestry and fishing",93.649,Gross Value Added
2007.5,Denmark,"Agriculture, forestry and fishing",113.218,Gross Value Added
2007.75,Denmark,"Agriculture, forestry and fishing",122.496,Gross Value Added
2008.0,Denmark,"Agriculture, forestry and fishing",104.621,Gross Value Added
2008.25,Denmark,"Agriculture, forestry and fishing",78.833,Gross Value Added
2008.5,Denmark,"Agriculture, forestry and fishing",63.498,Gross Value Added
2008.75,Denmark,"Agriculture, forestry and fishing",80.907,Gross Value Added
2009.0,Denmark,"Agriculture, forestry and fishing",91.909,Gross Value Added
2009.25,Denmark,"Agriculture, forestry and fishing",67.031,Gross Value Added
2009.5,Denmark,"Agriculture, forestry and fishing",77.639,Gross Value Added
2009.75,Denmark,"Agriculture, forestry and fishing",75.649,Gross Value Added
2010.0,Denmark,"Agriculture, forestry and fishing",88.402,Gross Value Added
2010.25,Denmark,"Agriculture, forestry and fishing",108.228,Gross Value Added
2010.5,Denmark,"Agriculture, forestry and fishing",115.652,Gross Value Added
2010.75,Denmark,"Agriculture, forestry and fishing",101.146,Gross Value Added
2011.0,Denmark,"Agriculture, forestry and fishing",84.822,Gross Value Added
2011.25,Denmark,"Agriculture, forestry and fishing",88.682,Gross Value Added
2011.5,Denmark,"Agriculture, forestry and fishing",85.965,Gross Value Added
2011.75,Denmark,"Agriculture, forestry and fishing",98.519,Gross Value Added
2012.0,Denmark,"Agriculture, forestry and fishing",96.491,Gross Value Added
2012.25,Denmark,"Agriculture, forestry and fishing",100.885,Gross Value Added
2012.5,Denmark,"Agriculture, forestry and fishing",105.955,Gross Value Added
2012.75,Denmark,"Agriculture, forestry and fishing",98.297,Gross Value Added
2013.0,Denmark,"Agriculture, forestry and fishing",100.248,Gross Value Added
2013.25,Denmark,"Agriculture, forestry and fishing",99.509,Gross Value Added
2013.5,Denmark,"Agriculture, forestry and fishing",89.087,Gross Value Added
2013.75,Denmark,"Agriculture, forestry and fishing",93.448,Gross Value Added
2014.0,Denmark,"Agriculture, forestry and fishing",107.183,Gross Value Added
2014.25,Denmark,"Agriculture, forestry and fishing",107.496,Gross Value Added
2014.5,Denmark,"Agriculture, forestry and fishing",136.73,Gross Value Added
2014.75,Denmark,"Agriculture, forestry and fishing",101.562,Gross Value Added
2015.0,Denmark,"Agriculture, forestry and fishing",109.155,Gross Value Added
2015.25,Denmark,"Agriculture, forestry and fishing",85.019,Gross Value Added
2015.5,Denmark,"Agriculture, forestry and fishing",100.968,Gross Value Added
2015.75,Denmark,"Agriculture, forestry and fishing",91.639,Gross Value Added
2016.0,Denmark,"Agriculture, forestry and fishing",81.958,Gross Value Added
2016.25,Denmark,"Agriculture, forestry and fishing",73.158,Gross Value Added
2016.5,Denmark,"Agriculture, forestry and fishing",92.066,Gross Value Added
2016.75,Denmark,"Agriculture, forestry and fishing",81.417,Gross Value Added
2017.0,Denmark,"Agriculture, forestry and fishing",77.278,Gross Value Added
2017.25,Denmark,"Agriculture, forestry and fishing",93.032,Gross Value Added
2017.5,Denmark,"Agriculture, forestry and fishing",100.222,Gross Value Added
2017.75,Denmark,"Agriculture, forestry and fishing",108.415,Gross Value Added
2018.0,Denmark,"Agriculture, forestry and fishing",107.245,Gross Value Added
2018.25,Denmark,"Agriculture, forestry and fishing",102.19,Gross Value Added
2018.5,Denmark,"Agriculture, forestry and fishing",75.187,Gross Value Added
2018.75,Denmark,"Agriculture, forestry and fishing",92.749,Gross Value Added
2019.0,Denmark,"Agriculture, forestry and fishing",93.382,Gross Value Added
2019.25,Denmark,"Agriculture, forestry and fishing",97.793,Gross Value Added
2019.5,Denmark,"Agriculture, forestry and fishing",103.076,Gross Value Added
2019.75,Denmark,"Agriculture, forestry and fishing",95.978,Gross Value Added
2020.0,Denmark,"Agriculture, forestry and fishing",107.197,Gross Value Added
2020.25,Denmark,"Agriculture, forestry and fishing",98.269,Gross Value Added
2020.5,Denmark,"Agriculture, forestry and fishing",104.376,Gross Value Added
2020.75,Denmark,"Agriculture, forestry and fishing",90.158,Gross Value Added
2021.0,Denmark,"Agriculture, forestry and fishing",122.048,Gross Value Added
2021.25,Denmark,"Agriculture, forestry and fishing",104.572,Gross Value Added
2021.5,Denmark,"Agriculture, forestry and fishing",99.406,Gross Value Added
2021.75,Denmark,"Agriculture, forestry and fishing",98.847,Gross Value Added
2022.0,Denmark,"Agriculture, forestry and fishing",89.936,Gross Value Added
2022.25,Denmark,"Agriculture, forestry and fishing",107.248,Gross Value Added
2022.5,Denmark,"Agriculture, forestry and fishing",99.207,Gross Value Added
2022.75,Denmark,"Agriculture, forestry and fishing",85.54,Gross Value Added
2023.0,Denmark,"Agriculture, forestry and fishing",74.729,Gross Value Added
2023.25,Denmark,"Agriculture, forestry and fishing",68.448,Gross Value Added
2023.5,Denmark,"Agriculture, forestry and fishing",67.903,Gross Value Added
2023.75,Denmark,"Agriculture, forestry and fishing",66.036,Gross Value Added
2024.0,Denmark,"Agriculture, forestry and fishing",70.427,Gross Value Added
2024.25,Denmark,"Agriculture, forestry and fishing",68.733,Gross Value Added
2024.5,Denmark,"Agriculture, forestry and fishing",68.341,Gross Value Added
2024.75,Denmark,"Agriculture, forestry and fishing",71.999,Gross Value Added
2025.0,Denmark,"Agriculture, forestry and fishing",70.313,Gross Value Added
2025.25,Denmark,"Agriculture, forestry and fishing",62.533,Gross Value Added
2025.5,Denmark,"Agriculture, forestry and fishing",66.496,Gross Value Added
1997.0,Euro Area,"Agriculture, forestry and fishing",88.395,Gross Value Added
1997.25,Euro Area,"Agriculture, forestry and fishing",87.904,Gross Value Added
1997.5,Euro Area,"Agriculture, forestry and fishing",88.337,Gross Value Added
1997.75,Euro Area,"Agriculture, forestry and fishing",90.077,Gross Value Added
1998.0,Euro Area,"Agriculture, forestry and fishing",89.209,Gross Value Added
1998.25,Euro Area,"Agriculture, forestry and fishing",90.05,Gross Value Added
1998.5,Euro Area,"Agriculture, forestry and fishing",89.807,Gross Value Added
1998.75,Euro Area,"Agriculture, forestry and fishing",89.722,Gross Value Added
1999.0,Euro Area,"Agriculture, forestry and fishing",91.895,Gross Value Added
1999.25,Euro Area,"Agriculture, forestry and fishing",93.225,Gross Value Added
1999.5,Euro Area,"Agriculture, forestry and fishing",94.408,Gross Value Added
1999.75,Euro Area,"Agriculture, forestry and fishing",95.2,Gross Value Added
2000.0,Euro Area,"Agriculture, forestry and fishing",95.762,Gross Value Added
2000.25,Euro Area,"Agriculture, forestry and fishing",95.57,Gross Value Added
2000.5,Euro Area,"Agriculture, forestry and fishing",95.254,Gross Value Added
2000.75,Euro Area,"Agriculture, forestry and fishing",93.302,Gross Value Added
2001.0,Euro Area,"Agriculture, forestry and fishing",93.003,Gross Value Added
2001.25,Euro Area,"Agriculture, forestry and fishing",92.087,Gross Value Added
2001.5,Euro Area,"Agriculture, forestry and fishing",92.964,Gross Value Added
2001.75,Euro Area,"Agriculture, forestry and fishing",95.027,Gross Value Added
2002.0,Euro Area,"Agriculture, forestry and fishing",94.467,Gross Value Added
2002.25,Euro Area,"Agriculture, forestry and fishing",94.297,Gross Value Added
2002.5,Euro Area,"Agriculture, forestry and fishing",94.384,Gross Value Added
2002.75,Euro Area,"Agriculture, forestry and fishing",92.627,Gross Value Added
2003.0,Euro Area,"Agriculture, forestry and fishing",90.913,Gross Value Added
2003.25,Euro Area,"Agriculture, forestry and fishing",89.578,Gross Value Added
2003.5,Euro Area,"Agriculture, forestry and fishing",88.669,Gross Value Added
2003.75,Euro Area,"Agriculture, forestry and fishing",92.036,Gross Value Added
2004.0,Euro Area,"Agriculture, forestry and fishing",98.761,Gross Value Added
2004.25,Euro Area,"Agriculture, forestry and fishing",100.726,Gross Value Added
2004.5,Euro Area,"Agriculture, forestry and fishing",100.538,Gross Value Added
2004.75,Euro Area,"Agriculture, forestry and fishing",100.279,Gross Value Added
2005.0,Euro Area,"Agriculture, forestry and fishing",92.931,Gross Value Added
2005.25,Euro Area,"Agriculture, forestry and fishing",92.01,Gross Value Added
2005.5,Euro Area,"Agriculture, forestry and fishing",92.94,Gross Value Added
2005.75,Euro Area,"Agriculture, forestry and fishing",91.268,Gross Value Added
2006.0,Euro Area,"Agriculture, forestry and fishing",92.142,Gross Value Added
2006.25,Euro Area,"Agriculture, forestry and fishing",92.48,Gross Value Added
2006.5,Euro Area,"Agriculture, forestry and fishing",92.485,Gross Value Added
2006.75,Euro Area,"Agriculture, forestry and fishing",92.593,Gross Value Added
2007.0,Euro Area,"Agriculture, forestry and fishing",93.977,Gross Value Added
2007.25,Euro Area,"Agriculture, forestry and fishing",94.449,Gross Value Added
2007.5,Euro Area,"Agriculture, forestry and fishing",93.422,Gross Value Added
2007.75,Euro Area,"Agriculture, forestry and fishing",93.646,Gross Value Added
2008.0,Euro Area,"Agriculture, forestry and fishing",96.638,Gross Value Added
2008.25,Euro Area,"Agriculture, forestry and fishing",96.73,Gross Value Added
2008.5,Euro Area,"Agriculture, forestry and fishing",97.258,Gross Value Added
2008.75,Euro Area,"Agriculture, forestry and fishing",97.731,Gross Value Added
2009.0,Euro Area,"Agriculture, forestry and fishing",95.964,Gross Value Added
2009.25,Euro Area,"Agriculture, forestry and fishing",96.648,Gross Value Added
2009.5,Euro Area,"Agriculture, forestry and fishing",97.372,Gross Value Added
2009.75,Euro Area,"Agriculture, forestry and fishing",96.992,Gross Value Added
2010.0,Euro Area,"Agriculture, forestry and fishing",95.911,Gross Value Added
2010.25,Euro Area,"Agriculture, forestry and fishing",95.938,Gross Value Added
2010.5,Euro Area,"Agriculture, forestry and fishing",96.166,Gross Value Added
2010.75,Euro Area,"Agriculture, forestry and fishing",97.227,Gross Value Added
2011.0,Euro Area,"Agriculture, forestry and fishing",98.894,Gross Value Added
2011.25,Euro Area,"Agriculture, forestry and fishing",99.969,Gross Value Added
2011.5,Euro Area,"Agriculture, forestry and fishing",100.122,Gross Value Added
2011.75,Euro Area,"Agriculture, forestry and fishing",99.984,Gross Value Added
2012.0,Euro Area,"Agriculture, forestry and fishing",96.797,Gross Value Added
2012.25,Euro Area,"Agriculture, forestry and fishing",95.888,Gross Value Added
2012.5,Euro Area,"Agriculture, forestry and fishing",94.082,Gross Value Added
2012.75,Euro Area,"Agriculture, forestry and fishing",93.727,Gross Value Added
2013.0,Euro Area,"Agriculture, forestry and fishing",94.407,Gross Value Added
2013.25,Euro Area,"Agriculture, forestry and fishing",95.433,Gross Value Added
2013.5,Euro Area,"Agriculture, forestry and fishing",96.566,Gross Value Added
2013.75,Euro Area,"Agriculture, forestry and fishing",99.134,Gross Value Added
2014.0,Euro Area,"Agriculture, forestry and fishing",100.531,Gross Value Added
2014.25,Euro Area,"Agriculture, forestry and fishing",101.798,Gross Value Added
2014.5,Euro Area,"Agriculture, forestry and fishing",103.332,Gross Value Added
2014.75,Euro Area,"Agriculture, forestry and fishing",102.614,Gross Value Added
2015.0,Euro Area,"Agriculture, forestry and fishing",101.089,Gross Value Added
2015.25,Euro Area,"Agriculture, forestry and fishing",101.485,Gross Value Added
2015.5,Euro Area,"Agriculture, forestry and fishing",102.286,Gross Value Added
2015.75,Euro Area,"Agriculture, forestry and fishing",102.655,Gross Value Added
2016.0,Euro Area,"Agriculture, forestry and fishing",101.426,Gross Value Added
2016.25,Euro Area,"Agriculture, forestry and fishing",100.862,Gross Value Added
2016.5,Euro Area,"Agriculture, forestry and fishing",100.174,Gross Value Added
2016.75,Euro Area,"Agriculture, forestry and fishing",99.145,Gross Value Added
2017.0,Euro Area,"Agriculture, forestry and fishing",101.042,Gross Value Added
2017.25,Euro Area,"Agriculture, forestry and fishing",101.351,Gross Value Added
2017.5,Euro Area,"Agriculture, forestry and fishing",101.964,Gross Value Added
2017.75,Euro Area,"Agriculture, forestry and fishing",103.387,Gross Value Added
2018.0,Euro Area,"Agriculture, forestry and fishing",101.479,Gross Value Added
2018.25,Euro Area,"Agriculture, forestry and fishing",101.432,Gross Value Added
2018.5,Euro Area,"Agriculture, forestry and fishing",100.861,Gross Value Added
2018.75,Euro Area,"Agriculture, forestry and fishing",102.372,Gross Value Added
2019.0,Euro Area,"Agriculture, forestry and fishing",103.373,Gross Value Added
2019.25,Euro Area,"Agriculture, forestry and fishing",102.911,Gross Value Added
2019.5,Euro Area,"Agriculture, forestry and fishing",102.437,Gross Value Added
2019.75,Euro Area,"Agriculture, forestry and fishing",102.656,Gross Value Added
2020.0,Euro Area,"Agriculture, forestry and fishing",99.465,Gross Value Added
2020.25,Euro Area,"Agriculture, forestry and fishing",99.727,Gross Value Added
2020.5,Euro Area,"Agriculture, forestry and fishing",100.364,Gross Value Added
2020.75,Euro Area,"Agriculture, forestry and fishing",100.444,Gross Value Added
2021.0,Euro Area,"Agriculture, forestry and fishing",102.448,Gross Value Added
2021.25,Euro Area,"Agriculture, forestry and fishing",104.103,Gross Value Added
2021.5,Euro Area,"Agriculture, forestry and fishing",103.841,Gross Value Added
2021.75,Euro Area,"Agriculture, forestry and fishing",102.55,Gross Value Added
2022.0,Euro Area,"Agriculture, forestry and fishing",102.581,Gross Value Added
2022.25,Euro Area,"Agriculture, forestry and fishing",102.512,Gross Value Added
2022.5,Euro Area,"Agriculture, forestry and fishing",102.865,Gross Value Added
2022.75,Euro Area,"Agriculture, forestry and fishing",102.437,Gross Value Added
2023.0,Euro Area,"Agriculture, forestry and fishing",100.876,Gross Value Added
2023.25,Euro Area,"Agriculture, forestry and fishing",101.062,Gross Value Added
2023.5,Euro Area,"Agriculture, forestry and fishing",98.901,Gross Value Added
2023.75,Euro Area,"Agriculture, forestry and fishing",99.382,Gross Value Added
2024.0,Euro Area,"Agriculture, forestry and fishing",100.031,Gross Value Added
2024.25,Euro Area,"Agriculture, forestry and fishing",99.045,Gross Value Added
2024.5,Euro Area,"Agriculture, forestry and fishing",98.989,Gross Value Added
2024.75,Euro Area,"Agriculture, forestry and fishing",99.716,Gross Value Added
2025.0,Euro Area,"Agriculture, forestry and fishing",100.984,Gross Value Added
2025.25,Euro Area,"Agriculture, forestry and fishing",100.151,Gross Value Added
2025.5,Euro Area,"Agriculture, forestry and fishing",100.641,Gross Value Added
1997.0,Spain,"Agriculture, forestry and fishing",79.224,Gross Value Added
1997.25,Spain,"Agriculture, forestry and fishing",78.741,Gross Value Added
1997.5,Spain,"Agriculture, forestry and fishing",81.247,Gross Value Added
1997.75,Spain,"Agriculture, forestry and fishing",84.923,Gross Value Added
1998.0,Spain,"Agriculture, forestry and fishing",83.74,Gross Value Added
1998.25,Spain,"Agriculture, forestry and fishing",83.371,Gross Value Added
1998.5,Spain,"Agriculture, forestry and fishing",84.261,Gross Value Added
1998.75,Spain,"Agriculture, forestry and fishing",82.213,Gross Value Added
1999.0,Spain,"Agriculture, forestry and fishing",79.644,Gross Value Added
1999.25,Spain,"Agriculture, forestry and fishing",82.442,Gross Value Added
1999.5,Spain,"Agriculture, forestry and fishing",84.732,Gross Value Added
1999.75,Spain,"Agriculture, forestry and fishing",84.274,Gross Value Added
2000.0,Spain,"Agriculture, forestry and fishing",87.823,Gross Value Added
2000.25,Spain,"Agriculture, forestry and fishing",89.858,Gross Value Added
2000.5,Spain,"Agriculture, forestry and fishing",89.49,Gross Value Added
2000.75,Spain,"Agriculture, forestry and fishing",89.21,Gross Value Added
2001.0,Spain,"Agriculture, forestry and fishing",87.531,Gross Value Added
2001.25,Spain,"Agriculture, forestry and fishing",86.017,Gross Value Added
2001.5,Spain,"Agriculture, forestry and fishing",86.907,Gross Value Added
2001.75,Spain,"Agriculture, forestry and fishing",92.555,Gross Value Added
2002.0,Spain,"Agriculture, forestry and fishing",91.69,Gross Value Added
2002.25,Spain,"Agriculture, forestry and fishing",87.976,Gross Value Added
2002.5,Spain,"Agriculture, forestry and fishing",88.841,Gross Value Added
2002.75,Spain,"Agriculture, forestry and fishing",87.645,Gross Value Added
2003.0,Spain,"Agriculture, forestry and fishing",87.569,Gross Value Added
2003.25,Spain,"Agriculture, forestry and fishing",87.798,Gross Value Added
2003.5,Spain,"Agriculture, forestry and fishing",86.195,Gross Value Added
2003.75,Spain,"Agriculture, forestry and fishing",93.191,Gross Value Added
2004.0,Spain,"Agriculture, forestry and fishing",90.52,Gross Value Added
2004.25,Spain,"Agriculture, forestry and fishing",89.388,Gross Value Added
2004.5,Spain,"Agriculture, forestry and fishing",85.355,Gross Value Added
2004.75,Spain,"Agriculture, forestry and fishing",82.201,Gross Value Added
2005.0,Spain,"Agriculture, forestry and fishing",80.687,Gross Value Added
